rank,material_id,formula,space_group,theta_D_K,lambda,lambda_source,Tc_estimated_K,Tc_experimental_K,R_tau,R_tau_multi,n_channels,channels,channels_needed_300K,pressure_GPa,notes
689,mp-686681,Ca6Ga6Si3(HO12)2,P1,207.8,0.900,light-element hydride heuristic,9.03,0.0,0.020846,0.041692,2,phonon+spin,34,0.0,
690,mp-753051,LiCrPHO5,P-1,207.5,0.900,light-element hydride heuristic,9.02,0.0,0.020802,0.041604,2,phonon+spin,34,0.0,
691,mp-1227120,CaH2CO4,P3_1,187.3,1.000,light-element hydride heuristic,9.94,0.0,0.020688,0.041375,2,phonon+spin,31,0.0,
692,mp-1008734,ThH2,Fm-3m,292.7,0.900,metal hydride heuristic,12.72,0.0,0.041367,0.041367,1,phonon,24,0.0,
693,mp-1211684,LaB5HO10,P2_1/c,206.9,0.900,light-element hydride heuristic,8.99,0.0,0.020672,0.041344,2,phonon+spin,34,0.0,
694,mp-777775,Ag(H7O4)2,P2_1/c,176.5,1.900,hydride heuristic (H_count=7),21.08,0.0,0.041341,0.041341,1,phonon,15,0.0,
695,mp-758348,LiMn3Al2(HO2)6,P-1,206.8,0.900,light-element hydride heuristic,8.99,0.0,0.020646,0.041292,2,phonon+spin,34,0.0,
696,mp-1104786,Ca6Cr2HN6,R-3,206.7,0.900,light-element hydride heuristic,8.99,0.0,0.020642,0.041283,2,phonon+spin,34,0.0,
697,mp-1233827,BaMgAl3P2(HO7)2,Cm,206.1,0.900,light-element hydride heuristic,8.96,0.0,0.020515,0.041030,2,phonon+spin,34,0.0,
698,mp-736386,VH24C4N4Cl7,P2/c,158.9,2.400,hydride heuristic (H_count=24),23.16,0.0,0.040898,0.040898,1,phonon,13,0.0,
699,mp-1203970,CeH(CO2)3,Pnma,205.8,0.900,light-element hydride heuristic,8.94,0.0,0.020446,0.040893,2,phonon+spin,34,0.0,
700,mp-779015,SmHIClO13,P2_1/c,205.5,0.900,light-element hydride heuristic,8.93,0.0,0.020385,0.040771,2,phonon+spin,34,0.0,
701,mp-758328,LiMn3Al2(HO2)6,P-1,205.3,0.900,light-element hydride heuristic,8.92,0.0,0.020349,0.040697,2,phonon+spin,34,0.0,
702,mp-758339,LiMn3Al2(HO2)6,P-1,205.0,0.900,light-element hydride heuristic,8.91,0.0,0.020292,0.040583,2,phonon+spin,34,0.0,
703,mp-758733,LiMn3Al2(HO2)6,P-1,205.0,0.900,light-element hydride heuristic,8.91,0.0,0.020287,0.040574,2,phonon+spin,34,0.0,
704,mp-758346,LiMn3Al2(HO2)6,P-1,204.9,0.900,light-element hydride heuristic,8.90,0.0,0.020269,0.040539,2,phonon+spin,34,0.0,
705,mp-758231,LiMn3Al2(HO2)6,P-1,204.7,0.900,light-element hydride heuristic,8.90,0.0,0.020233,0.040465,2,phonon+spin,34,0.0,
706,mp-762521,LiMn3Al2(HO2)6,P1,204.7,0.900,light-element hydride heuristic,8.90,0.0,0.020228,0.040457,2,phonon+spin,34,0.0,
707,mp-757927,LiMn3Al2(HO2)6,P-1,204.5,0.900,light-element hydride heuristic,8.89,0.0,0.020199,0.040397,2,phonon+spin,34,0.0,
708,mp-23731,CuSi(HO2)2,R-3,204.3,0.900,light-element hydride heuristic,8.88,0.0,0.020155,0.040311,2,phonon+spin,34,0.0,
709,mp-1221116,NaCoP2HO7,P1,203.8,0.900,light-element hydride heuristic,8.86,0.0,0.020054,0.040107,2,phonon+spin,34,0.0,
710,mp-1097907,MnHO2,I4/m,203.6,0.900,light-element hydride heuristic,8.85,0.0,0.020019,0.040039,2,phonon+spin,34,0.0,
711,mp-24154,NbH2,Fm-3m,260.2,1.000,light-element hydride heuristic,13.81,0.0,0.039937,0.039937,1,phonon,22,0.0,
712,mp-849445,Li2MnVP2(HO5)2,P-1,203.0,0.900,light-element hydride heuristic,8.82,0.0,0.019907,0.039813,2,phonon+spin,34,0.0,
713,mp-1198414,TcP4H36(C6Br)2,I-42m,156.8,2.400,hydride heuristic (H_count=36),22.85,0.0,0.039808,0.039808,1,phonon,14,0.0,
714,mp-776553,Li2MnVP2(HO5)2,P1,202.9,0.900,light-element hydride heuristic,8.82,0.0,0.019872,0.039745,2,phonon+spin,35,0.0,
715,mp-778728,Li2MnVP2(HO5)2,P1,202.8,0.900,light-element hydride heuristic,8.82,0.0,0.019867,0.039734,2,phonon+spin,35,0.0,
716,mp-849523,Li2MnVP2(HO5)2,P1,202.7,0.900,light-element hydride heuristic,8.81,0.0,0.019850,0.039700,2,phonon+spin,35,0.0,
717,mp-1176607,LiMnVP2(HO5)2,P-1,202.6,0.900,light-element hydride heuristic,8.81,0.0,0.019825,0.039651,2,phonon+spin,35,0.0,
718,mp-849682,Li2MnVP2(HO5)2,P1,202.6,0.900,light-element hydride heuristic,8.81,0.0,0.019823,0.039645,2,phonon+spin,35,0.0,
719,mp-759811,Li2VCrP2(HO5)2,P-1,202.6,0.900,light-element hydride heuristic,8.80,0.0,0.019820,0.039640,2,phonon+spin,35,0.0,
720,mp-759005,Li2VCrP2(HO5)2,P-1,202.6,0.900,light-element hydride heuristic,8.80,0.0,0.019817,0.039635,2,phonon+spin,35,0.0,
721,mp-557562,TiH8C4NO10,P6_422,168.8,2.000,hydride heuristic (H_count=8),21.13,0.0,0.039615,0.039615,1,phonon,15,0.0,
722,mp-557853,TiH8C4NO10,P6_222,168.6,2.000,hydride heuristic (H_count=8),21.11,0.0,0.039550,0.039550,1,phonon,15,0.0,
723,mp-1235750,LiMnVP2(HO5)2,P1,202.3,0.900,light-element hydride heuristic,8.79,0.0,0.019769,0.039539,2,phonon+spin,35,0.0,
724,mp-778070,Li2MnVP2(HO5)2,P-1,202.3,0.900,light-element hydride heuristic,8.79,0.0,0.019766,0.039532,2,phonon+spin,35,0.0,
725,mp-745067,CaH8(BrO6)2,P-1,168.5,2.000,hydride heuristic (H_count=8),21.10,0.0,0.039514,0.039514,1,phonon,15,0.0,
726,mp-1187773,VH6(OF)3,R3m,177.0,1.800,hydride heuristic (H_count=6),20.09,0.0,0.039505,0.039505,1,phonon,15,0.0,
727,mp-1209115,Sb2HF13,P-1,202.2,0.900,light-element hydride heuristic,8.79,0.0,0.019734,0.039467,2,phonon+topological,35,0.0,
728,mp-1197494,CsVP3HO10,C2/c,202.0,0.900,light-element hydride heuristic,8.78,0.0,0.019709,0.039418,2,phonon+spin,35,0.0,
729,mp-776506,Li2MnVP2(HO5)2,P-1,201.9,0.900,light-element hydride heuristic,8.78,0.0,0.019691,0.039382,2,phonon+spin,35,0.0,
730,mp-695793,ZnAs4(HO2)8,P-1,201.9,0.900,light-element hydride heuristic,8.77,0.0,0.019675,0.039350,2,phonon+spin,35,0.0,
731,mp-849539,Li2MnVP2(HO5)2,P-1,201.8,0.900,light-element hydride heuristic,8.77,0.0,0.019660,0.039320,2,phonon+spin,35,0.0,
732,mp-1235410,LiTiH6(OF3)2,P3,176.5,1.800,hydride heuristic (H_count=6),20.04,0.0,0.039304,0.039304,1,phonon,15,0.0,
733,mp-2229225,MgTi2P2(HO5)2,P1,201.6,0.900,light-element hydride heuristic,8.76,0.0,0.019626,0.039251,2,phonon+spin,35,0.0,
734,mp-695887,K3Cu2P4HO14,P-1,201.6,0.900,light-element hydride heuristic,8.76,0.0,0.019623,0.039246,2,phonon+spin,35,0.0,
735,mp-975657,PrH,P6_3mc,249.4,0.750,metal hydride heuristic,7.08,0.0,0.019615,0.039229,2,phonon+spin,43,0.0,
736,mp-707519,Mg16Si8HO32,P1,201.3,0.900,light-element hydride heuristic,8.75,0.0,0.019573,0.039145,2,phonon+spin,35,0.0,
737,mp-733817,Mg16Si8HO32,P1,201.3,0.900,light-element hydride heuristic,8.75,0.0,0.019560,0.039120,2,phonon+spin,35,0.0,
738,mp-1198634,YbP3(HO)6,C2/m,201.1,0.900,light-element hydride heuristic,8.74,0.0,0.019529,0.039058,2,phonon+spin,35,0.0,
739,mp-541550,Mg16Si8HO32,Pm,200.9,0.900,light-element hydride heuristic,8.73,0.0,0.019496,0.038992,2,phonon+spin,35,0.0,
740,mp-758551,K3EuSi3(HO5)2,Pnma,200.6,0.900,light-element hydride heuristic,8.72,0.0,0.019437,0.038874,2,phonon+spin,35,0.0,
741,mp-1221236,Na4Mg11AlSi12(HO10)4,P1,200.5,0.900,light-element hydride heuristic,8.72,0.0,0.019421,0.038842,2,phonon+spin,35,0.0,
742,mp-766011,Li3VCrP2(HO5)2,P1,200.3,0.900,light-element hydride heuristic,8.70,0.0,0.019367,0.038735,2,phonon+spin,35,0.0,
743,mp-27796,Li4H5Rh,Cmcm,192.8,1.500,hydride heuristic (H_count=5),18.04,0.0,0.038652,0.038652,1,phonon,17,0.0,
744,mp-1078123,Ti4H3,P-42m,222.8,1.200,hydride heuristic (H_count=3),15.61,0.0,0.038649,0.038649,1,phonon,20,0.0,
745,mp-33112,Sc2H5,Pmmn,192.8,1.500,hydride heuristic (H_count=5),18.04,0.0,0.038637,0.038637,1,phonon,17,0.0,
746,mp-1217176,VH6SO10,P-1,174.6,1.800,hydride heuristic (H_count=6),19.82,0.0,0.038464,0.038464,1,phonon,16,0.0,
747,mp-1204928,PrHIClO13,P2_1/c,199.3,0.900,light-element hydride heuristic,8.66,0.0,0.019186,0.038372,2,phonon+spin,35,0.0,
748,mp-1235241,LiTiH6(OF3)2,C2,174.4,1.800,hydride heuristic (H_count=6),19.79,0.0,0.038340,0.038340,1,phonon,16,0.0,
749,mp-753516,Li3V2P4(HO8)2,P1,198.9,0.900,light-element hydride heuristic,8.65,0.0,0.019107,0.038214,2,phonon+spin,35,0.0,
750,mp-1223547,KMg3GaSi3(HO6)2,P1,198.6,0.900,light-element hydride heuristic,8.63,0.0,0.019041,0.038081,2,phonon+spin,35,0.0,
751,mp-772040,SbH(OF3)2,P-1,198.4,0.900,light-element hydride heuristic,8.62,0.0,0.019014,0.038027,2,phonon+topological,35,0.0,
752,mp-23706,YH3,P-3c1,220.4,1.200,hydride heuristic (H_count=3),15.44,0.0,0.037812,0.037812,1,phonon,20,0.0,
753,mp-1178678,YH3,P6_3cm,220.0,1.200,hydride heuristic (H_count=3),15.42,0.0,0.037689,0.037689,1,phonon,20,0.0,
754,mp-1084805,YH3,P6_3/mmc,219.6,1.200,hydride heuristic (H_count=3),15.39,0.0,0.037542,0.037542,1,phonon,20,0.0,
755,mp-1079127,Ti2H3,P4_2/mcm,219.5,1.200,hydride heuristic (H_count=3),15.38,0.0,0.037499,0.037499,1,phonon,20,0.0,
756,mp-695830,Na2Cu(HO)4,Pna2_1,197.0,0.900,light-element hydride heuristic,8.56,0.0,0.018743,0.037487,2,phonon+spin,36,0.0,
757,mp-24609,RbMnP3HO10,C2/c,196.6,0.900,light-element hydride heuristic,8.54,0.0,0.018660,0.037320,2,phonon+spin,36,0.0,
758,mp-24827,KVBP2HO9,P-1,196.3,0.900,light-element hydride heuristic,8.53,0.0,0.018610,0.037220,2,phonon+spin,36,0.0,
759,mp-1202293,Ba3Ge2B7H3O20,Cc,218.2,1.200,hydride heuristic (H_count=3),15.29,0.0,0.037059,0.037059,1,phonon,20,0.0,
760,mp-769242,Li2Cu(HO)4,Pna2_1,195.7,0.900,light-element hydride heuristic,8.51,0.0,0.018498,0.036997,2,phonon+spin,36,0.0,
761,mp-1235748,LiTiH6(OF3)2,P321,171.0,1.800,hydride heuristic (H_count=6),19.41,0.0,0.036887,0.036887,1,phonon,16,0.0,
762,mp-1211019,Na3Mg5Si8(HO12)2,P2_1/m,195.3,0.900,light-element hydride heuristic,8.49,0.0,0.018425,0.036851,2,phonon+spin,36,0.0,
763,mp-1200471,CsV3B2P4(H4O11)2,C2/m,200.3,1.350,hydride heuristic (H_count=4),16.49,0.0,0.036713,0.036713,1,phonon,19,0.0,
764,mp-1202814,MnP2(HO4)2,P2_1/c,194.0,0.900,light-element hydride heuristic,8.43,0.0,0.018168,0.036335,2,phonon+spin,36,0.0,
765,mp-677618,Ca6Al6Si3(HO12)2,P1,193.4,0.900,light-element hydride heuristic,8.41,0.0,0.018062,0.036124,2,phonon+spin,36,0.0,
766,mp-1264155,Ca6Al6Si3(HO12)2,P1,193.3,0.900,light-element hydride heuristic,8.40,0.0,0.018046,0.036092,2,phonon+spin,36,0.0,
767,mp-849392,Li9V2P4HO18,Ima2,193.2,0.900,light-element hydride heuristic,8.40,0.0,0.018033,0.036067,2,phonon+spin,36,0.0,
768,mp-697047,Li3H4Rh,Cmcm,198.2,1.350,hydride heuristic (H_count=4),16.32,0.0,0.035950,0.035950,1,phonon,19,0.0,
769,mp-1220318,NbH,I4/mmm,272.7,0.900,light-element hydride heuristic,11.85,0.0,0.035923,0.035923,1,phonon,26,0.0,
770,mp-758987,Na5CuHO4,Pnma,192.7,0.900,light-element hydride heuristic,8.37,0.0,0.017929,0.035857,2,phonon+spin,36,0.0,
771,mp-1223564,KMg3AlSi3(HO6)2,P1,192.6,0.900,light-element hydride heuristic,8.37,0.0,0.017905,0.035811,2,phonon+spin,36,0.0,
772,mp-1227798,Ca8Be5Al3Si18(HO14)4,P1,191.6,0.900,light-element hydride heuristic,8.33,0.0,0.017731,0.035462,2,phonon+spin,37,0.0,
773,mp-27797,Li4H4Rh,I4/m,196.1,1.350,hydride heuristic (H_count=4),16.14,0.0,0.035179,0.035179,1,phonon,19,0.0,
774,mp-1203733,ZrH5S3O14,P-1,183.9,1.500,hydride heuristic (H_count=5),17.21,0.0,0.035167,0.035167,1,phonon,18,0.0,
775,mp-743949,Na3VSi4(HO6)2,P-1,190.8,0.900,light-element hydride heuristic,8.29,0.0,0.017582,0.035163,2,phonon+spin,37,0.0,
776,mp-1206371,NbH,Cmme,269.6,0.900,light-element hydride heuristic,11.72,0.0,0.035105,0.035105,1,phonon,26,0.0,
777,mp-758945,Li5CuHO4,Pnma,190.5,0.900,light-element hydride heuristic,8.28,0.0,0.017525,0.035050,2,phonon+spin,37,0.0,
778,mp-504844,VP3(HO5)2,P2_1/c,190.1,0.900,light-element hydride heuristic,8.26,0.0,0.017452,0.034904,2,phonon+spin,37,0.0,
779,mp-510562,KMnP3HO10,C2/c,189.3,0.900,light-element hydride heuristic,8.23,0.0,0.017308,0.034617,2,phonon+spin,37,0.0,
780,mp-1178894,VHO3,P1,189.0,0.900,light-element hydride heuristic,8.21,0.0,0.017253,0.034505,2,phonon+spin,37,0.0,
781,mp-728959,CaV2P2(H4O7)2,P1,193.9,1.350,hydride heuristic (H_count=4),15.96,0.0,0.034378,0.034378,1,phonon,19,0.0,
782,mp-769201,LiCuHCO4,P6_3/m,188.4,0.900,light-element hydride heuristic,8.19,0.0,0.017132,0.034264,2,phonon+spin,37,0.0,
783,mp-1077185,MgTiH4,P4/mmm,193.5,1.350,hydride heuristic (H_count=4),15.93,0.0,0.034245,0.034245,1,phonon,19,0.0,
784,mp-675452,Ti20H2N17,C2/m,240.9,1.000,light-element hydride heuristic,12.79,0.0,0.034228,0.034228,1,phonon,24,0.0,
785,mp-674456,Zr10HN8,P-1,265.7,0.900,light-element hydride heuristic,11.55,0.0,0.034102,0.034102,1,phonon,26,0.0,
786,mp-759434,Na5MnHO4,Pnma,187.1,0.900,light-element hydride heuristic,8.13,0.0,0.016901,0.033802,2,phonon+spin,37,0.0,
787,mp-1227045,CaH2Pd,P4/mmm,239.2,1.000,light-element hydride heuristic,12.69,0.0,0.033739,0.033739,1,phonon,24,0.0,
788,mp-1022803,CoHCO4,P6_3/m,186.0,0.900,light-element hydride heuristic,8.09,0.0,0.016714,0.033428,2,phonon+spin,38,0.0,
789,mp-1178316,Li19Cu4(HO2)8,P1,185.6,0.900,light-element hydride heuristic,8.07,0.0,0.016636,0.033272,2,phonon+spin,38,0.0,
790,mp-746817,NaV2P2(H4O7)2,P-1,190.6,1.350,hydride heuristic (H_count=4),15.69,0.0,0.033221,0.033221,1,phonon,20,0.0,
791,mp-781825,Li9Cu2(HO2)4,Pmn2_1,185.4,0.900,light-element hydride heuristic,8.06,0.0,0.016607,0.033214,2,phonon+spin,38,0.0,
792,mp-1196246,Al3P2(H4O7)2,P-1,189.7,1.350,hydride heuristic (H_count=4),15.62,0.0,0.032923,0.032923,1,phonon,20,0.0,
793,mp-769935,CuHCO4,P6_3/m,183.0,0.900,light-element hydride heuristic,7.95,0.0,0.016169,0.032338,2,phonon+spin,38,0.0,
794,mp-1215581,Zr3HC2,P-3m1,256.4,0.900,light-element hydride heuristic,11.15,0.0,0.031757,0.031757,1,phonon,27,0.0,
795,mp-770824,Nb2P4H3O16,P1,201.4,1.200,hydride heuristic (H_count=3),14.11,0.0,0.031561,0.031561,1,phonon,22,0.0,
796,mp-1191292,LiAlSi2HO7,P1,180.7,0.900,light-element hydride heuristic,7.85,0.0,0.015765,0.031530,2,phonon+spin,39,0.0,
797,mp-644278,Y2H2C,P-3m1,230.0,1.000,light-element hydride heuristic,12.21,0.0,0.031198,0.031198,1,phonon,25,0.0,
798,mp-1215471,Zr2HC,P3m1,253.9,0.900,light-element hydride heuristic,11.04,0.0,0.031139,0.031139,1,phonon,28,0.0,
799,mp-1221340,Na4Al3Si7(HO3)8,P1,179.5,0.900,light-element hydride heuristic,7.80,0.0,0.015560,0.031120,2,phonon+spin,39,0.0,
800,mp-973053,ScH3,Fm-3m,199.0,1.200,hydride heuristic (H_count=3),13.94,0.0,0.030825,0.030825,1,phonon,22,0.0,
801,mp-985595,Zn6HO6,Pm,175.7,0.900,light-element hydride heuristic,7.64,0.0,0.014906,0.029812,2,phonon+spin,40,0.0,
802,mp-510020,NaVBP2H3O10,C2/c,195.2,1.200,hydride heuristic (H_count=3),13.68,0.0,0.029669,0.029669,1,phonon,22,0.0,
803,mp-1216447,V4HC3,R-3m,247.6,0.900,light-element hydride heuristic,10.76,0.0,0.029595,0.029595,1,phonon,28,0.0,
804,mp-24286,ZrH2,I4/mmm,246.8,0.900,metal hydride heuristic,10.73,0.0,0.029414,0.029414,1,phonon,28,0.0,
805,mp-1204092,Na6Zn3B9P6H3O38,P6_3,194.0,1.200,hydride heuristic (H_count=3),13.59,0.0,0.029309,0.029309,1,phonon,23,0.0,
806,mp-24722,HRh,Fm-3m,304.5,0.750,metal hydride heuristic,8.64,0.0,0.029224,0.029224,1,phonon,35,0.0,
807,mp-1211785,KP2(HO2)4,P2_1/c,173.9,0.900,light-element hydride heuristic,7.56,0.0,0.014605,0.029211,2,phonon+spin,40,0.0,
808,mp-24155,ZrH2,Fm-3m,245.3,0.900,metal hydride heuristic,10.66,0.0,0.029060,0.029060,1,phonon,29,0.0,
809,mp-24289,HPd,Fm-3m,301.6,0.750,metal hydride heuristic,8.56,0.0,0.028682,0.028682,1,phonon,36,0.0,
810,mp-1206023,ZrHBr,P-3m1,243.6,0.900,light-element hydride heuristic,10.59,0.0,0.028650,0.028650,1,phonon,29,0.0,
811,mp-1195139,ScH4(SO5)2,P2_1/c,176.4,1.350,hydride heuristic (H_count=4),14.52,0.0,0.028467,0.028467,1,phonon,21,0.0,
812,mp-642803,Zr2HBr2,C2/m,242.7,0.900,light-element hydride heuristic,10.55,0.0,0.028448,0.028448,1,phonon,29,0.0,
813,mp-1018095,BaGaGeH,P3m1,242.2,0.900,light-element hydride heuristic,10.53,0.0,0.028330,0.028330,1,phonon,29,0.0,
814,mp-1206799,Ba(GaH)2,P-3m1,240.8,0.900,light-element hydride heuristic,10.47,0.0,0.028012,0.028012,1,phonon,29,0.0,
815,mp-24153,LaH2,Fm-3m,239.8,0.900,metal hydride heuristic,10.42,0.0,0.027773,0.027773,1,phonon,29,0.0,
816,mp-1180573,Nb6HI11,Pna2_1,238.7,0.900,light-element hydride heuristic,10.38,0.0,0.027525,0.027525,1,phonon,29,0.0,
817,mp-696500,Nb6HI11,Pccn,238.4,0.900,light-element hydride heuristic,10.36,0.0,0.027454,0.027454,1,phonon,29,0.0,
818,mp-1198429,Na6Mg3B9P6H3O38,P6_3,187.3,1.200,hydride heuristic (H_count=3),13.12,0.0,0.027317,0.027317,1,phonon,23,0.0,
819,mp-1184548,HPd,P6_3mc,294.0,0.750,metal hydride heuristic,8.34,0.0,0.027246,0.027246,1,phonon,36,0.0,
820,mp-1214401,Ca2ZnAs2(H2O5)2,P-1,214.0,1.000,light-element hydride heuristic,11.35,0.0,0.026992,0.026992,1,phonon,27,0.0,
821,mp-23954,Na2H2Pd,I4/mmm,213.8,1.000,light-element hydride heuristic,11.35,0.0,0.026958,0.026958,1,phonon,27,0.0,
822,mp-1197483,Zn5P6(H3O5)6,P-1,186.0,1.200,hydride heuristic (H_count=3),13.03,0.0,0.026935,0.026935,1,phonon,24,0.0,
823,mp-530696,Ca8H3N4,P-1,185.7,1.200,hydride heuristic (H_count=3),13.01,0.0,0.026857,0.026857,1,phonon,24,0.0,
824,mp-643683,Ba5(Ga3H)2,P3c1,234.1,0.900,light-element hydride heuristic,10.18,0.0,0.026473,0.026473,1,phonon,30,0.0,
825,mp-24728,VH2,Fm-3m,233.3,0.900,metal hydride heuristic,10.14,0.0,0.026292,0.026292,1,phonon,30,0.0,
826,mp-1104568,Ba9In4H,I4/m,232.9,0.900,light-element hydride heuristic,10.12,0.0,0.026183,0.026183,1,phonon,30,0.0,
827,mp-690799,Zr(TiH2)2,Fd-3m,232.6,0.900,metal hydride heuristic,10.11,0.0,0.026127,0.026127,1,phonon,30,0.0,
828,mp-1008506,BaGaSiH,P3m1,232.0,0.900,light-element hydride heuristic,10.08,0.0,0.025994,0.025994,1,phonon,30,0.0,
829,mp-1217074,Ti2HC,R-3m,229.5,0.900,light-element hydride heuristic,9.98,0.0,0.025444,0.025444,1,phonon,31,0.0,
830,mp-2746689,Ba(H2O3)2,C2/c,207.2,1.000,light-element hydride heuristic,11.00,0.0,0.025313,0.025313,1,phonon,28,0.0,
831,mp-2216788,MgTi6(H2O7)2,P1,206.1,1.000,light-element hydride heuristic,10.94,0.0,0.025043,0.025043,1,phonon,28,0.0,
832,mp-1233761,CaTi6(H2O7)2,P1,205.7,1.000,light-element hydride heuristic,10.92,0.0,0.024949,0.024949,1,phonon,28,0.0,
833,mp-703591,Ba5B20(H2O19)2,P2,205.7,1.000,light-element hydride heuristic,10.92,0.0,0.024945,0.024945,1,phonon,28,0.0,
834,mp-1234627,MgTi6(H2O7)2,P1,205.7,1.000,light-element hydride heuristic,10.91,0.0,0.024940,0.024940,1,phonon,28,0.0,
835,mp-1198679,H5(C2N3)6,P-1,154.8,1.500,hydride heuristic (H_count=5),14.49,0.0,0.024922,0.024922,1,phonon,21,0.0,
836,mp-1202134,H5(C2N3)6,P1,154.7,1.500,hydride heuristic (H_count=5),14.48,0.0,0.024880,0.024880,1,phonon,21,0.0,
837,mp-1024958,ZrHCl,P-3m1,226.2,0.900,light-element hydride heuristic,9.83,0.0,0.024710,0.024710,1,phonon,31,0.0,
838,mp-569037,Y3H2,P6_3/mmc,225.7,0.900,metal hydride heuristic,9.81,0.0,0.024597,0.024597,1,phonon,31,0.0,
839,mp-24650,YH2,Fm-3m,225.5,0.900,metal hydride heuristic,9.80,0.0,0.024561,0.024561,1,phonon,31,0.0,
840,mp-1018093,CaGaGeH,P3m1,224.6,0.900,light-element hydride heuristic,9.76,0.0,0.024365,0.024365,1,phonon,31,0.0,
841,mp-644389,Li2H2Pd,I4/mmm,223.5,0.900,metal hydride heuristic,9.71,0.0,0.024119,0.024119,1,phonon,31,0.0,
842,mp-625964,Ba(H2O3)2,P1,201.5,1.000,light-element hydride heuristic,10.70,0.0,0.023951,0.023951,1,phonon,29,0.0,
843,mp-1227394,Be2BH3O5,Cc,174.9,1.200,hydride heuristic (H_count=3),12.25,0.0,0.023808,0.023808,1,phonon,25,0.0,
844,mp-1077482,TiH2,P4/nmm,220.4,0.900,metal hydride heuristic,9.58,0.0,0.023463,0.023463,1,phonon,32,0.0,
845,mp-625894,Ba(H2O3)2,C2,198.3,1.000,light-element hydride heuristic,10.52,0.0,0.023190,0.023190,1,phonon,29,0.0,
846,mp-24237,ScH2,Fm-3m,197.3,1.000,light-element hydride heuristic,10.47,0.0,0.022943,0.022943,1,phonon,29,0.0,
847,mp-24726,TiH2,I4/mmm,217.8,0.900,metal hydride heuristic,9.47,0.0,0.022918,0.022918,1,phonon,32,0.0,
848,mp-24161,TiH2,Fm-3m,217.6,0.900,metal hydride heuristic,9.46,0.0,0.022872,0.022872,1,phonon,32,0.0,
849,mp-625888,Ba(H2O3)2,C2/c,196.0,1.000,light-element hydride heuristic,10.40,0.0,0.022641,0.022641,1,phonon,29,0.0,
850,mp-626015,Ba(H2O3)2,P1,195.9,1.000,light-element hydride heuristic,10.40,0.0,0.022627,0.022627,1,phonon,29,0.0,
851,mp-1179405,Sr(H2O3)2,Cc,194.5,1.000,light-element hydride heuristic,10.32,0.0,0.022302,0.022302,1,phonon,30,0.0,
852,mp-1203483,BH6N,Pnma,132.7,1.800,hydride heuristic (H_count=6),15.06,0.0,0.022213,0.022213,1,phonon,20,0.0,
853,mp-1580008,LiVP4(H2O7)2,P-1,192.1,1.000,light-element hydride heuristic,10.19,0.0,0.021753,0.021753,1,phonon,30,0.0,
854,mp-1079768,Ti2HPd,P4/mmm,262.0,0.750,metal hydride heuristic,7.43,0.0,0.021641,0.021641,1,phonon,41,0.0,
855,mp-1204628,Na6HfHS5O21,P2_1,190.3,1.000,light-element hydride heuristic,10.10,0.0,0.021351,0.021351,1,phonon,30,0.0,
856,mp-23839,K2VH2OF5,C2/c,188.7,1.000,light-element hydride heuristic,10.01,0.0,0.020997,0.020997,1,phonon,30,0.0,
857,mp-1216169,Zr24P8H,P2,256.8,0.750,metal hydride heuristic,7.29,0.0,0.020788,0.020788,1,phonon,42,0.0,
858,mp-863656,PmH,P6_3mc,256.8,0.750,metal hydride heuristic,7.29,0.0,0.020787,0.020787,1,phonon,42,0.0,
859,mp-1018090,CaGaSiH,P3m1,207.3,0.900,light-element hydride heuristic,9.01,0.0,0.020753,0.020753,1,phonon,34,0.0,
860,mp-1018133,LiHPd,P4/mmm,256.1,0.750,metal hydride heuristic,7.26,0.0,0.020670,0.020670,1,phonon,42,0.0,
861,mp-643912,Ca5Ge3H,I4/mcm,204.9,0.900,light-element hydride heuristic,8.90,0.0,0.020268,0.020268,1,phonon,34,0.0,
862,mp-1211100,LiB3H8,Cmcm,120.7,2.000,hydride heuristic (H_count=8),15.11,0.0,0.020256,0.020256,1,phonon,20,0.0,
863,mp-642659,V2H,I4_1/amd,251.8,0.750,metal hydride heuristic,7.14,0.0,0.019980,0.019980,1,phonon,43,0.0,
864,mp-642644,V2H,C2/m,251.7,0.750,metal hydride heuristic,7.14,0.0,0.019968,0.019968,1,phonon,43,0.0,
865,mp-697179,ZrH,P4_2/mmc,249.9,0.750,metal hydride heuristic,7.09,0.0,0.019681,0.019681,1,phonon,43,0.0,
866,mp-1185517,Mg(AlH4)2,P-1,145.9,1.350,hydride heuristic (H_count=4),12.01,0.0,0.019459,0.019459,1,phonon,25,0.0,
867,mp-1002114,VH,Fm-3m,247.6,0.750,metal hydride heuristic,7.03,0.0,0.019333,0.019333,1,phonon,43,0.0,
868,mp-1198972,Li6Zr6HCl18,R-3,199.9,0.900,light-element hydride heuristic,8.69,0.0,0.019288,0.019288,1,phonon,35,0.0,
869,mp-632219,ZrH,I-4m2,247.1,0.750,metal hydride heuristic,7.01,0.0,0.019247,0.019247,1,phonon,43,0.0,
870,mp-632758,CaP(H2O3)2,C2/c,180.6,1.000,light-element hydride heuristic,9.59,0.0,0.019236,0.019236,1,phonon,32,0.0,
871,mp-1224640,K3B5PH2O13,P2/c,179.5,1.000,light-element hydride heuristic,9.53,0.0,0.018999,0.018999,1,phonon,32,0.0,
872,mp-24081,ScHCl,R-3m,194.7,0.900,light-element hydride heuristic,8.46,0.0,0.018309,0.018309,1,phonon,36,0.0,
